sen-median,sen-p1,sen-p2,time,date,hosp_pred
0.0,0.0,0.0,2020-01-16,2020-01-16,
0.0,0.0,0.0,2020-01-17,2020-01-17,
0.0,0.0,0.0,2020-01-18,2020-01-18,
0.0,0.0,0.0,2020-01-19,2020-01-19,
0.0,0.0,0.0,2020-01-20,2020-01-20,
0.0,0.0,0.0,2020-01-21,2020-01-21,
0.0,0.0,0.0,2020-01-22,2020-01-22,
0.0,0.0,0.0,2020-01-23,2020-01-23,
0.0,0.0,0.5249999999999915,2020-01-24,2020-01-24,
0.0,0.0,1.0,2020-01-25,2020-01-25,
0.0,0.0,1.0,2020-01-26,2020-01-26,
0.0,0.0,1.0,2020-01-27,2020-01-27,
0.0,0.0,1.0,2020-01-28,2020-01-28,
0.0,0.0,1.0,2020-01-29,2020-01-29,
0.0,0.0,1.0,2020-01-30,2020-01-30,
0.0,0.0,1.0,2020-01-31,2020-01-31,
0.0,0.0,2.0,2020-02-01,2020-02-01,
0.0,0.0,1.0,2020-02-02,2020-02-02,
0.0,0.0,1.0,2020-02-03,2020-02-03,
0.0,0.0,2.0,2020-02-04,2020-02-04,
0.0,0.0,2.0,2020-02-05,2020-02-05,
0.0,0.0,2.0,2020-02-06,2020-02-06,
0.0,0.0,2.0,2020-02-07,2020-02-07,
1.0,0.0,2.5249999999999915,2020-02-08,2020-02-08,
1.0,0.0,2.5249999999999915,2020-02-09,2020-02-09,
1.0,0.0,4.0,2020-02-10,2020-02-10,
1.0,0.0,4.0,2020-02-11,2020-02-11,
1.0,0.0,5.0,2020-02-12,2020-02-12,
2.0,0.0,5.0,2020-02-13,2020-02-13,
2.0,0.0,5.524999999999992,2020-02-14,2020-02-14,
3.0,0.0,7.0,2020-02-15,2020-02-15,
3.0,0.0,8.0,2020-02-16,2020-02-16,
4.0,1.0,8.524999999999991,2020-02-17,2020-02-17,
4.0,0.4750000000000001,12.0,2020-02-18,2020-02-18,
5.0,1.0,10.524999999999991,2020-02-19,2020-02-19,
6.0,1.0,13.0,2020-02-20,2020-02-20,
7.0,1.475,14.524999999999991,2020-02-21,2020-02-21,
8.5,2.0,16.52499999999999,2020-02-22,2020-02-22,
