all-median,all-p1,all-p2,time,date,hosp_pred
0.0,0.0,0.0,2020-01-16,2020-01-16,
0.0,0.0,0.0,2020-01-17,2020-01-17,
0.0,0.0,0.0,2020-01-18,2020-01-18,
0.0,0.0,0.0,2020-01-19,2020-01-19,
0.0,0.0,0.0,2020-01-20,2020-01-20,
0.0,0.0,0.5249999999999915,2020-01-21,2020-01-21,
0.0,0.0,0.5249999999999915,2020-01-22,2020-01-22,
0.0,0.0,1.0,2020-01-23,2020-01-23,
0.0,0.0,1.0,2020-01-24,2020-01-24,
0.0,0.0,1.0,2020-01-25,2020-01-25,
0.0,0.0,1.0,2020-01-26,2020-01-26,
0.0,0.0,1.0,2020-01-27,2020-01-27,
0.0,0.0,1.0,2020-01-28,2020-01-28,
0.0,0.0,1.0,2020-01-29,2020-01-29,
0.0,0.0,1.5249999999999917,2020-01-30,2020-01-30,
0.0,0.0,1.0,2020-01-31,2020-01-31,
0.0,0.0,1.0,2020-02-01,2020-02-01,
0.0,0.0,2.0,2020-02-02,2020-02-02,
0.0,0.0,2.0,2020-02-03,2020-02-03,
0.0,0.0,2.0,2020-02-04,2020-02-04,
1.0,0.0,3.5249999999999915,2020-02-05,2020-02-05,
1.0,0.0,3.0,2020-02-06,2020-02-06,
1.0,0.0,3.0,2020-02-07,2020-02-07,
1.0,0.0,3.0,2020-02-08,2020-02-08,
1.0,0.0,5.0,2020-02-09,2020-02-09,
1.0,0.0,4.0,2020-02-10,2020-02-10,
2.0,0.0,5.0,2020-02-11,2020-02-11,
2.0,0.0,6.0,2020-02-12,2020-02-12,
3.0,0.0,7.524999999999991,2020-02-13,2020-02-13,
3.0,0.0,8.0,2020-02-14,2020-02-14,
4.0,0.0,11.0,2020-02-15,2020-02-15,
4.0,0.4750000000000001,10.0,2020-02-16,2020-02-16,
6.0,2.0,12.0,2020-02-17,2020-02-17,
7.0,2.0,17.52499999999999,2020-02-18,2020-02-18,
7.0,2.0,17.0,2020-02-19,2020-02-19,
9.0,3.0,17.52499999999999,2020-02-20,2020-02-20,
12.0,3.0,22.049999999999983,2020-02-21,2020-02-21,
13.0,5.475,27.0,2020-02-22,2020-02-22,
